/Map,,,,,//1=true,,,Door01,,destination,,Door02,,destination,,Door03,,destination,,Door04,,destination,
/x,y,width,height,maxUnit,startFlg,defenseFlg,mapDays,x,y,map,door,x,y,map,door,x,y,map,door,x,y,map,door
-300,-300,200,100,4,0,1,3,,,1,,,,-1,,,,-1,,,,-1,
-300,-100,200,100,4,0,0,3,,,0,,,,4,,,,-1,,,,-1,
-300,100,200,100,4,0,0,3,,,5,,,,-1,,,,-1,,,,-1,
0,-300,200,100,4,0,0,3,,,4,,,,6,,,,-1,,,,-1,
0,-100,200,100,4,0,0,3,,,1,,,,3,,,,5,,,,7,
0,100,200,100,4,0,0,3,,,2,,,,4,,,,-1,,,,-1,
300,-300,200,100,4,0,0,3,,,3,,,,-1,,,,-1,,,,-1,
300,-100,200,100,4,0,0,3,,,4,,,,8,,,,-1,,,,-1,
300,100,200,100,4,1,0,3,,,7,,,,-1,,,,-1,,,,-1,
